,0
sensor_4_roll_mean,0.31028718
sensor_11_roll_mean,0.19530603
sensor_15_roll_mean,0.134522
sensor_3_roll_mean,0.045485836
sensor_9_roll_mean,0.042883046
sensor_21_roll_mean,0.034075677
sensor_2_roll_mean,0.030537112
sensor_9,0.025277944
sensor_20_roll_mean,0.020641528
sensor_9_lag1,0.017413918
sensor_7_roll_mean,0.0089495545
sensor_14_roll_mean,0.008004043
sensor_12_roll_mean,0.0076916744
sensor_11,0.006455385
sensor_12,0.005562005
sensor_13_roll_mean,0.0051958626
sensor_14,0.004635607
sensor_14_lag1,0.0042928657
sensor_12_lag1,0.0037025134
sensor_8_roll_mean,0.0034176568
sensor_4,0.003184034
sensor_20,0.0030854475
sensor_7,0.0028926642
sensor_15,0.0028712782
sensor_13,0.0025894006
sensor_7_lag1,0.0024989871
sensor_13_lag1,0.002336407
sensor_11_lag1,0.002332115
sensor_2,0.002274872
sensor_20_lag1,0.002206865
sensor_21,0.0021783987
sensor_14_roll_std,0.0021421402
sensor_4_roll_std,0.0021398568
sensor_7_roll_std,0.0021381194
sensor_8_roll_std,0.0021190483
sensor_15_lag1,0.0021133681
sensor_4_lag1,0.0020527926
sensor_3_roll_std,0.0020151976
sensor_21_lag1,0.001967877
sensor_2_lag1,0.0019630666
sensor_8,0.0019582815
sensor_15_roll_std,0.0018772152
sensor_3,0.0018459423
sensor_3_lag1,0.0017908504
sensor_12_roll_std,0.0017841876
sensor_9_roll_std,0.0017757077
sensor_14_diff,0.0017425051
sensor_11_roll_std,0.0017215498
sensor_13_roll_std,0.0016898238
sensor_21_roll_std,0.0016868878
sensor_2_roll_std,0.00166514
sensor_20_roll_std,0.0016210821
sensor_15_diff,0.0014941923
sensor_3_diff,0.0014572553
sensor_8_lag1,0.0014520214
sensor_20_diff,0.0014185021
sensor_7_diff,0.0013846115
sensor_4_diff,0.0013609981
sensor_9_diff,0.0013344584
sensor_11_diff,0.0013183116
sensor_13_diff,0.0012927445
sensor_12_diff,0.0012725386
sensor_2_diff,0.0012666701
sensor_21_diff,0.0012097267
sensor_8_diff,0.0011393828
